Authors,Title,Year,Source title,Cited by,Link,Document Type,Publication Stage,Source
"Brown M.S., Kattamis N.T., Arnold C.B.","Time-resolved study of polyimide film absorbing layers for laser-induced forward transfer",2010,"Lasers and Electro-Optics/Quantum Electronics and Laser Science Conference: 2010 Laser Science to Photonic Applications, CLEO/QELS 2010",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957562712&partnerID=40&md5=c3a21f1a7e412d527e20339ed47578b8",Conference Paper,"Final",Scopus
"Kattamis N., Brown M., Arnold C.B.","Incident beam shape effects on thick-film laser induced forward transfer",2010,"Lasers and Electro-Optics/Quantum Electronics and Laser Science Conference: 2010 Laser Science to Photonic Applications, CLEO/QELS 2010",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957560979&partnerID=40&md5=edb50b2d61fa7ca6727783ca1072785d",Conference Paper,"Final",Scopus
"Xia X., Chen Q., Tsay C., Arnold C.B., Madsen C.K.","Low-loss chalcogenide waveguides on lithium niobate for the mid-infrared",2010,"Optics Letters",41,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78149271783&doi=10.1364%2fOL.35.003228&partnerID=40&md5=af2a217e5c8a0af24fea44a6286aad67",Article,"Final",Scopus
"Fardel R., McLeod E., Tsai Y.-C., Arnold C.B.","Nanoscale ablation through optically trapped microspheres",2010,"Applied Physics A: Materials Science and Processing",15,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049334736&doi=10.1007%2fs00339-010-5792-z&partnerID=40&md5=23c7230bdcfb1bbd8ed05ca9ac29e9fb",Article,"Final",Scopus
"Tsay C., Mujagić E., Madsen C.K., Gmachl C.F., Arnold C.B.","Mid-infrared characterization of solution-processed As2S 3 chalcogenide glass waveguides",2010,"Optics Express",74,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77954929745&doi=10.1364%2fOE.18.015523&partnerID=40&md5=e678b5bfe4a9604907f13e48cde9880d",Article,"Final",Scopus
"Brown M.S., Kattamis N.T., Arnold C.B.","Time-resolved study of polyimide absorption layers for blister-actuated laser-induced forward transfer",2010,"Journal of Applied Physics",90,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952352385&doi=10.1063%2f1.3327432&partnerID=40&md5=ebd4e1fcaa3a2e1d006b0f9c8c995936",Article,"Final",Scopus
"Song S., Dua J., Arnold C.B.","Influence of annealing conditions on the optical and structural properties of spin-coated As2S3 chalcogenide glass thin films",2010,"Optics Express",66,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77949648296&doi=10.1364%2fOE.18.005472&partnerID=40&md5=ce05b523e6d1159aaaa68baa02d16115",Article,"Final",Scopus
"Fardel R., Tsai Y.-C., Arnold C.B.","Optical trap assisted nanopatterning for structured surfaces",2010,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087187899&doi=10.1364%2fcleo.2010.cmr2&partnerID=40&md5=d3b55da4de50623977bfc877008d518f",Conference Paper,"Final",Scopus
"Kattamis N., Brown M., Arnold C.B.","Incident beam shape effects on thick-film laser induced forward transfer",2010,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086490928&doi=10.1364%2fcleo.2010.jtua5&partnerID=40&md5=a7ee61e5640fe3f5d90a1e1b5601ae59",Conference Paper,"Final",Scopus
"Tsay C., Mujagic E., Gmachl C., Arnold C.B.","Integrated mid-infrared chalcogenide glass waveguide and quantum cascade laser",2010,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085774906&doi=10.1364%2fcleo.2010.cwg6&partnerID=40&md5=35d16148bdcca92a392ac557ec9dd5dd",Conference Paper,"Final",Scopus
"Brown M.S., Arnold C.B.","Fundamentals of Laser-Material Interaction and Application to Multiscale Surface Modification",2010,"Springer Series in Materials Science",253,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989941183&doi=10.1007%2f978-3-642-10523-4_4&partnerID=40&md5=d3b0e7879eb15b768331c57ec572c1bb",Book Chapter,"Final",Scopus
"Olivier N., Mozet W.T., Mermillod-Blondin A., Beaurepaire E., Arnold C.B.","Liquid lens approaches for simultaneous standard and extended depth of field imaging",2010,"Lasers and Electro-Optics/Quantum Electronics and Laser Science Conference: 2010 Laser Science to Photonic Applications, CLEO/QELS 2010",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957595036&doi=10.1364%2fcleo.2010.ctht6&partnerID=40&md5=41bd733ce75c5e03b8844d5ed1858cc7",Conference Paper,"Final",Scopus
"Song S., Carlie N., Petit L., Richardson K., Arnold C.B.","Spin-coated Ge23Sb7S70 thin films with large photo-induced refractive index change",2010,"Lasers and Electro-Optics/Quantum Electronics and Laser Science Conference: 2010 Laser Science to Photonic Applications, CLEO/QELS 2010",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77957555824&doi=10.1364%2fcleo.2010.ctug6&partnerID=40&md5=d47cc160d0338054b186cf763c39a962",Conference Paper,"Final",Scopus
"McLeod E., Arnold C.B.","Parallel direct-write nanolithography using arrays of optically trapped microlenses",2009,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894099968&partnerID=40&md5=f6e6d9f118ed0c6be3caba069919726f",Conference Paper,"Final",Scopus
"Kattamis N.T., McDaniel N.D., Bernhard S., Arnold C.B.","Effect of laser transfer mechanism on damage to organic semiconducting molecules during laser direct-write printing",2009,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894085026&partnerID=40&md5=ec34935dc92bfb23a03fdfbc53654e6d",Conference Paper,"Final",Scopus
"Yan J., Mermillod-Blondin A., McLeod E., Arnold C.B.","Rapidly tunable acoustic gradient index lenses for pulsed imaging and laser processing",2009,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894075939&partnerID=40&md5=60b5956286d3c66b3368562651e9c2b6",Conference Paper,"Final",Scopus
"Song S., Carlie N., Petit L., Richardson K., Arnold C.B.","Spin-coating of Ge23Sb7S70 chalcogenide glass thin films",2009,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894052935&partnerID=40&md5=791e447d986e6a68bcd04e0df70cd790",Conference Paper,"Final",Scopus
"Tsay C., Mujagic E., Gmachl C.F., Arnold C.B.","Solution-cast As2S3 raised strip waveguides for integrated mid-IR optics",2009,"2009 Conference on Lasers and Electro-Optics and 2009 Conference on Quantum Electronics and Laser Science Conference, CLEO/QELS 2009",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71049144428&partnerID=40&md5=5e63b18bc560e93fbf1f5f23d21fd8e8",Conference Paper,"Final",Scopus
"Song S., Carlie N., Boudies J., Petit L., Richardson K., Arnold C.B.","Spin-coating of Ge23Sb7S70 chalcogenide glass thin films",2009,"Journal of Non-Crystalline Solids",60,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349348924&doi=10.1016%2fj.jnoncrysol.2009.07.015&partnerID=40&md5=de4f28ae4949dad2d4cd212ec066001e",Article,"Final",Scopus
"Olivier N., Mermillod-Blondin A., Arnold C.B., Beaurepaire E.","Two-photon microscopy with simultaneous standard and extended depth of field using a tunable acoustic gradient-index lens",2009,"Optics Letters",59,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67649364233&doi=10.1364%2fOL.34.001684&partnerID=40&md5=949ff6b9367301847df5f36415b52491",Article,"Final",Scopus
"Chen J., Ulerich J.P., Abelev E., Fasasi A., Arnold C.B., Soboyejo W.O.","An investigation of the initial attachment and orientation of osteoblast-like cells on laser grooved Ti-6Al-4V surfaces",2009,"Materials Science and Engineering C",77,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-64849110058&doi=10.1016%2fj.msec.2008.11.014&partnerID=40&md5=4efd9fd6e6851b62aa763fcb734b1485",Article,"Final",Scopus
"Kattamis N.T., McDaniel N.D., Bernhard S., Arnold C.B.","Laser direct write printing of sensitive and robust light emitting organic molecules",2009,"Applied Physics Letters",65,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-62549153600&doi=10.1063%2f1.3098375&partnerID=40&md5=411743a9378e854366996d8b60d49539",Article,"Final",Scopus
"McLeod E., Arnold C.B.","Array-based optical nanolithography using optically trapped microlenses",2009,"Optics Express",45,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-61549129336&doi=10.1364%2fOE.17.003640&partnerID=40&md5=434695ca8ef093c5eb547623959e6835",Article,"Final",Scopus
"Tsay C., Mujagic E., Gmachl C.F., Arnold C.B.","Solution-cast As2S3 raised strip waveguides for integrated mid-IR optics",2009,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087597591&doi=10.1364%2fcleo.2009.ctuo2&partnerID=40&md5=3168895d86d411edd0961d62ad369286",Conference Paper,"Final",Scopus
"Song S., Carlie N., Petit L., Richardson K., Arnold C.B.","Spin-coating of Ge23Sb7S70 chalcogenide glass thin films",2009,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085777388&doi=10.1364%2fcleo.2009.jthe41&partnerID=40&md5=78f005325ea8d2e88da4f76aa54bd06b",Conference Paper,"Final",Scopus
"Kattamis N.T., McDaniel N.D., Bernhard S., Arnold C.B.","Effect of laser transfer mechanism on damage to organic semiconducting molecules during laser direct-write printing",2009,"2009 Conference on Lasers and Electro-Optics and 2009 Conference on Quantum Electronics and Laser Science Conference, CLEO/QELS 2009",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71049159575&doi=10.1364%2fcleo.2009.cthee3&partnerID=40&md5=8b9e69fd4f600c740764da385477b593",Conference Paper,"Final",Scopus
"McLeod E., Arnold C.B.","Parallel direct-write nanolithography using arrays of optically trapped microlenses",2009,"2009 Conference on Lasers and Electro-Optics and 2009 Conference on Quantum Electronics and Laser Science Conference, CLEO/QELS 2009",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71049141747&doi=10.1364%2fcleo.2009.cthg2&partnerID=40&md5=b4a3604635a5b9369dfeecab64ae2719",Conference Paper,"Final",Scopus
"Yan J., Mermillod-Blondin A., McLeod E., Arnold C.B.","Rapidly tunable acoustic gradient index lenses for pulsed imaging and laser processing",2009,"2009 Conference on Lasers and Electro-Optics and 2009 Conference on Quantum Electronics and Laser Science Conference, CLEO/QELS 2009",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71049140384&doi=10.1364%2fcleo.2009.cfi4&partnerID=40&md5=6c73695b5ad0e19438c8fae26b01fcdf",Conference Paper,"Final",Scopus
"Fasasi A.Y., Mwenifumbo S., Rahbar N., Chen J., Li M., Beye A.C., Arnold C.B., Soboyejo W.O.","Nano-second UV laser processed micro-grooves on Ti6Al4V for biomedical applications",2009,"Materials Science and Engineering C",95,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-61349155517&doi=10.1016%2fj.msec.2008.05.002&partnerID=40&md5=81ec2287681244051f979e285705132c",Article,"Final",Scopus
"Mermillod-Blondin A., McLeod E., Arnold C.B.","Dynamic pulsed-beam shaping using a TAG lens in the near UV",2008,"Applied Physics A: Materials Science and Processing",16,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-49649095339&doi=10.1007%2fs00339-008-4653-5&partnerID=40&md5=e261c4118280ee1a280146a1198e1e9c",Article,"Final",Scopus
"Mermillod-Blondin A., McLeod E., Arnold C.B.","High-speed varifocal imaging with a tunable acoustic gradient index of refraction lens",2008,"Optics Letters",152,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-54749125078&doi=10.1364%2fOL.33.002146&partnerID=40&md5=e7a8897e44d09d3cdea9d2596477184e",Article,"Final",Scopus
"McLeod E., Arnold C.B.","Laser direct write near-field nanopatterning using optically trapped microspheres",2008,"2008 Conference on Quantum Electronics and Laser Science Conference on Lasers and Electro-Optics, CLEO/QELS",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51349139650&doi=10.1109%2fCLEO.2008.4551309&partnerID=40&md5=5a689e468b4f2dde3e6ba9bf3a0935f6",Conference Paper,"Final",Scopus
"McLeod E., Mermillod-Blondin A., Arnold C.B.","Rapid beam shaping using tunable acoustic gradient index of refraction lenses",2008,"2008 Conference on Quantum Electronics and Laser Science Conference on Lasers and Electro-Optics, CLEO/QELS",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51349102735&doi=10.1109%2fCLEO.2008.4551260&partnerID=40&md5=8d4cb104bcf88cf6dedc8b4358b1b5bc",Conference Paper,"Final",Scopus
"Song S., Tsay C., Arnold C.B.","Solvent-casting deposition of chalcogenide glass for photonic applications",2008,"2008 Conference on Quantum Electronics and Laser Science Conference on Lasers and Electro-Optics, CLEO/QELS",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51349093951&doi=10.1109%2fCLEO.2008.4551352&partnerID=40&md5=b91a21006cd4b4f2bb081c234e9d2728",Conference Paper,"Final",Scopus
"McLeod E., Arnold C.B.","Optical analysis of time-averaged multiscale Bessel beams generated by a tunable acoustic gradient index of refraction lens",2008,"Applied Optics",15,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51949086434&doi=10.1364%2fAO.47.003609&partnerID=40&md5=93fa6ef9194a81092e8e185711bffa58",Article,"Final",Scopus
"Song S., Tsay C., Arnold C.B.","Solvent-casting deposition of chalcogenide glass for photonic applications",2008,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898657813&partnerID=40&md5=221f7cc10073ef0c0aaeb12d12cf7fc3",Conference Paper,"Final",Scopus
"McLeod E., Arnold C.B.","Laser direct write near-field nanopatterning using optically trapped microspheres",2008,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898655819&partnerID=40&md5=0812682cba5e0a3c831ba00dcd3f7b22",Conference Paper,"Final",Scopus
"McLeod E., Mermillod-Blondin A., Arnold C.B.","Rapid beam shaping using tunable acoustic gradient index of refraction lenses",2008,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898618348&partnerID=40&md5=af96a052f5d3b5657a692fcdab2ced92",Conference Paper,"Final",Scopus
"Joy J., McLeod E., Arnold C.B.","Optical trap assisted nanoscale laser direct-write patterning",2008,"ICALEO 2008 - 27th International Congress on Applications of Lasers and Electro-Optics, Congress Proceedings",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-75149115039&doi=10.2351%2f1.5061405&partnerID=40&md5=35260c2af74e6f8cb3908ee5826e3f72",Conference Paper,"Final",Scopus
"McLeod E., Arnold C.B.","Subwavelength direct-write nanopatterning using optically trapped microspheres",2008,"Nature Nanotechnology",316,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-46749086174&doi=10.1038%2fnnano.2008.150&partnerID=40&md5=edf9c9d6cc93c7b9853714347afb36ba",Article,"Final",Scopus
"McLeod E., Arnold C.B.","Multiscale bessel beams from tunable acoustic gradient index of refraction lenses",2007,"Conference on Lasers and Electro-Optics, 2007, CLEO 2007",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955233725&doi=10.1109%2fCLEO.2007.4453267&partnerID=40&md5=305cefaf8e2817648418b87e7e826696",Conference Paper,"Final",Scopus
"Song S., Gmachl C.F., Arnold C.B.","Solvent-casting of photo-refractive chalcogenide glasses and their application in Quantum Cascade laser tuning",2007,"Conference on Lasers and Electro-Optics, 2007, CLEO 2007",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955213934&doi=10.1109%2fCLEO.2007.4452536&partnerID=40&md5=dcba849790bc48fd4dd30e7ba25bc2f6",Conference Paper,"Final",Scopus
"McLeod E., Arnold C.B.","Multiscale bessel beams from tunable acoustic gradient index of refraction lenses",2007,"Conference on Quantum Electronics and Laser Science (QELS) - Technical Digest Series",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-51549111872&doi=10.1109%2fQELS.2007.4431044&partnerID=40&md5=0b0550f6ca4cd0d862d66214354e8d3e",Conference Paper,"Final",Scopus
"Arnold C.B., McLeod E.","A new approach to adaptive optics for materials processing",2007,"Photonics Spectra",2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-36448982120&partnerID=40&md5=5be8096bf9ccb54da143fdc0524037c5",Article,"Final",Scopus
"Kattamis N.T., Purnick P.E., Weiss R., Arnold C.B.","Thick film laser induced forward transfer for deposition of thermally and mechanically sensitive materials",2007,"Applied Physics Letters",183,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-35549008874&doi=10.1063%2f1.2799877&partnerID=40&md5=7ce46f5b9e5ae563e5538a435b16dd92",Article,"Final",Scopus
"McLeod E., Arnold C.B.","Mechanics and refractive power optimization of tunable acoustic gradient lenses",2007,"Journal of Applied Physics",37,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548031642&doi=10.1063%2f1.2763947&partnerID=40&md5=489975203769cdcbdeb0adaa7733a254",Article,"Final",Scopus
"McLeod E., Arnold C.B.","Complex beam sculpting with tunable acoustic gradient index lenses",2007,"Proceedings of SPIE - The International Society for Optical Engineering",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248646563&doi=10.1117%2f12.701099&partnerID=40&md5=c5277a9587cdaead56c88d8f7f71e060",Conference Paper,"Final",Scopus
"Ulerich J.P., Ionescu L.C., Chen J., Soboyejo W.O., Arnold C.B.","Modifications of Ti-6Al-4V surfaces by direct-write laser machining of linear grooves",2007,"Proceedings of SPIE - The International Society for Optical Engineering",38,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34248401653&doi=10.1117%2f12.713964&partnerID=40&md5=adc120b4177177efa5a0467ce46b780b",Conference Paper,"Final",Scopus
"McLeod E., Arnold C.B.","Multiscale bessel beams from tunable acoustic gradient index of refraction lenses",2007,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899051847&partnerID=40&md5=e1849ed6d73eca93ae73380fec9a9fe1",Conference Paper,"Final",Scopus
"McLeod E., Arnold C.B.","Multiscale bessel beams from tunable acoustic gradient index of refraction lenses",2007,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898973753&partnerID=40&md5=f64937cea1cbedba98dd089d656fd82d",Conference Paper,"Final",Scopus
"Song S., Gmachl C.F., Arnold C.B.","Solvent-casting of photo-refractive chalcogenide glasses and their application in quantum cascade laser tuning",2007,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898941857&partnerID=40&md5=3e3bb2f2ab54a22993182a72c626e19a",Conference Paper,"Final",Scopus
"McLeod E., Arnold C.B.","Multiscale bessel beams from tunable acoustic gradient index of refraction lenses",2007,"Optics InfoBase Conference Papers",,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898937184&partnerID=40&md5=d6eee26a5006d664b4ff9f2639d0e834",Conference Paper,"Final",Scopus
"Arnold C.B., Piqué A.","Laser direct-write processing",2007,"MRS Bulletin",75,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846809263&doi=10.1557%2fmrs2007.9&partnerID=40&md5=0a9210bfd160318f9edd17bc199abd30",Article,"Final",Scopus
"Arnold C.B., Serra P., Piqué A.","Laser direct-write techniques for printing of complex materials",2007,"MRS Bulletin",330,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846796250&doi=10.1557%2fmrs2007.11&partnerID=40&md5=5010aa8c90181fdc5cb444ec95fc7489",Review,"Final",Scopus
"Piquá A., Kim H., Arnold C.B.","Laser forward transfer of electronic and power generating materials",2006,"Springer Series in Optical Sciences",14,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846379626&doi=10.1007%2f978-0-387-30453-3_14&partnerID=40&md5=e030bf5daf435fdfbd1b3d92083e517a",Article,"Final",Scopus
"Tsai T., McLeod E., Arnold C.B.","Generating Bessel beams with a tunable acoustic gradient index of refraction lens",2006,"Proceedings of SPIE - The International Society for Optical Engineering",19,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751410049&doi=10.1117%2f12.682945&partnerID=40&md5=fddd7f58dd8dbd4b3e3705d7b4c97ffd",Conference Paper,"Final",Scopus
"McLeod E., Hopkins A.B., Arnold C.B.","Multiscale Bessel beams generated by a tunable acoustic gradient index of refraction lens",2006,"Optics Letters",81,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33751322532&doi=10.1364%2fOL.31.003155&partnerID=40&md5=ec715f599aa4e31dc0fbf7d417ed407b",Article,"Final",Scopus
"Song S., Howard S.S., Liu Z., Dirisu A.O., Gmachl C.F., Arnold C.B.","Mode tuning of quantum cascade lasers through optical processing of chalcogenide glass claddings",2006,"Applied Physics Letters",65,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33746612064&doi=10.1063%2f1.2236296&partnerID=40&md5=da95e73658767f15001645123e24c829",Article,"Final",Scopus
"Sutto T.E., Ollinger M., Kim H., Arnold C.B., Piqué A.","Laser transferable polymer-ionic liquid separator/electrolytes for solid-state rechargeable lithium-ion microbatteries",2006,"Electrochemical and Solid-State Letters",31,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645529912&doi=10.1149%2f1.2142158&partnerID=40&md5=75c8571875c4847c0fe86b780fa71474",Article,"Final",Scopus
"Kunkel G.J., Arnold C.B., Smits A.J.","Development of NSTAP: Nanoscale thermal anemometry probe",2006,"Collection of Technical Papers - 36th AIAA Fluid Dynamics Conference",10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33845243926&doi=10.2514%2f6.2006-3718&partnerID=40&md5=1ad6df4706cadd224762e02fb719f2d2",Conference Paper,"Final",Scopus
"Arnold C.B., Aziz M.J.","Unified kinetic model of dopant segregation during vapor-phase growth",2005,"Physical Review B - Condensed Matter and Materials Physics",22,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-29844447383&doi=10.1103%2fPhysRevB.72.195419&partnerID=40&md5=09e9b57f6e6d4f6ab338e35e1b1ff6eb",Article,"Final",Scopus
"Recht D.L., Liu Z., Rahman K.R., Gmachl C.F., Arnold C.B.","Quantum cascade lasers tuned by amorphous As2S3 claddings",2005,"Proceedings of SPIE - The International Society for Optical Engineering",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-23744490968&doi=10.1117%2f12.599080&partnerID=40&md5=5149f0b28033cdab386b96153ff21e53",Conference Paper,"Final",Scopus
"Piqué A., Pratap B., Mathews S.A., Javis Karns B., Auyeung R.C., Kasser M., Ollinger M., Kim H., Lakeou S., Arnold C.B.","Laser direct-write of embedded electronic components and circuits",2005,"Proceedings of SPIE - The International Society for Optical Engineering",21,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-23744468023&doi=10.1117%2f12.596454&partnerID=40&md5=020f8a0e64305eb1f4cc5801e76ba4e5",Conference Paper,"Final",Scopus
"Arnold C.B., Kim H., Ollinger M., Sutto T.E., Piqué A.","Manufacture of mesoscale energy storage systems by laser-direct write",2004,"Proceedings of SPIE - The International Society for Optical Engineering",4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-20444425795&doi=10.1117%2f12.596561&partnerID=40&md5=5095ae0ef2ff134c0c2449b3b0ac3b40",Conference Paper,"Final",Scopus
"Piqué A., Mathews S.A., Auyeung R.C., Ollinger M., Kim H., Pratap B., Arnold C.B., Sutto T.E.","Application of laser direct-write techniques for embedding electronic and micropower components",2004,"Proceedings of SPIE - The International Society for Optical Engineering",10,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-20344407564&doi=10.1117%2f12.596562&partnerID=40&md5=5e263c9cfdbc8f51595c86634d09e35c",Conference Paper,"Final",Scopus
"Auyeung R.C.Y., Nurnberger M.W., Wendland D.J., Piqué A., Arnold C.B., Abbott A.R., Schuette L.C.","Laser fabrication of GPS conformal antennas",2004,"Proceedings of SPIE - The International Society for Optical Engineering",20,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-5444274542&doi=10.1117%2f12.532005&partnerID=40&md5=5bbfd94a24c1a1742d66bbcbc0aa27f9",Conference Paper,"Final",Scopus
"Kim H., Piqué A., Kushto G.P., Auyeung R.C.Y., Lee S.H., Arnold C.B., Kafafi Z.H.","Dye-sensitized solar cells using laser processing techniques",2004,"Proceedings of SPIE - The International Society for Optical Engineering",9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-5444243790&doi=10.1117%2f12.537903&partnerID=40&md5=132c5d981b1f1fdd935243c8a5bd3a17",Conference Paper,"Final",Scopus
"Arnold C.B., Pratap B., Piqué A., Geltmacher A.B., Thomas J.P.","Laser-micromachined defect arrays for DC potential drop fatigue studies",2004,"Proceedings of SPIE - The International Society for Optical Engineering",1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-5444235741&doi=10.1117%2f12.537794&partnerID=40&md5=18b8e467b5a837dcf8d420196b31b0ae",Conference Paper,"Final",Scopus
"Arnold C.B., Kim H., Piqué A.","Laser direct write of planar alkaline microbatteries",2004,"Applied Physics A: Materials Science and Processing",19,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-3042545696&doi=10.1007%2fs00339-004-2736-5&partnerID=40&md5=a0bd5f8e65ac540e6588579e5d47688e",Article,"Final",Scopus
"Kim H., Kushto G.P., Arnold C.B., Kafafi Z.H., Piqué A.","Laser processing of nanocrystalline TiO 2 films for dye-sensitized solar cells",2004,"Applied Physics Letters",96,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4043075499&doi=10.1063%2f1.1772870&partnerID=40&md5=0be1f30cde9c11dd3ef0471cee9c97de",Article,"Final",Scopus
"Arnold C.B., Sutto T.E., Kim H., Piqué A.","Direct-write laser processing creates tiny electrochemical systems",2004,"Laser Focus World",24,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2542437882&partnerID=40&md5=2fe07d566de46f3e202f1a8da6a06064",Review,"Final",Scopus
"Wartena R., Curtright A.E., Arnold C.B., Piqué A., Swider-Lyons K.E.","Li-ion microbatteries generated by a laser direct-write method",2004,"Journal of Power Sources",77,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0742301673&doi=10.1016%2fj.jpowsour.2003.08.019&partnerID=40&md5=30a1215e18e77cee7c669cffb252ff5d",Article,"Final",Scopus
"Piqué A., Arnold C.B., Kim H., Ollinger M., Sutto T.E.","Rapid prototyping of micropower sources by laser direct-write",2004,"Applied Physics A: Materials Science and Processing",39,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-4344699871&doi=10.1007%2fs00339-004-2586-1&partnerID=40&md5=97e8aa44c4b53766fe31ffa90ef445a3",Conference Paper,"Final",Scopus
"Piqué A., Arnold C.B., Pratap B., Auyeung R.C.Y., Kim H.S., Weir D.W.","Laser direct-write of metal patterns for interconnects and antennas",2003,"Proceedings of SPIE - The International Society for Optical Engineering",19,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0345293218&doi=10.1117%2f12.479407&partnerID=40&md5=b46f5fcd1784875abe6ecf6845d0534a",Conference Paper,"Final",Scopus
"Arnold C.B., Wartena R.C., Swider-Lyons K.E., Piqué A.","Fabrication of mesoscale energy storage systems by laser direct-write",2003,"Materials Research Society Symposium - Proceedings",8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041965679&partnerID=40&md5=cfa141d8d8aa45610cebf49b7f6cc384",Conference Paper,"Final",Scopus
"Arnold C.B., Piqué A.","Laser direct-write of alkaline microbatteries",2003,"Materials Research Society Symposium - Proceedings",3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0041965669&partnerID=40&md5=3e1d99b6d44ae918755d142016d9b656",Conference Paper,"Final",Scopus
